Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,Thermocouple_8,Analog_1,Analog_2,Analog_3,Analog_4,Analog_5,Analog_6,Analog_7,Analog_8,Digital_1,Digital_2,Digital_3,Digital_4,Digital_5,Digital_6,Digital_7,Digital_8
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.59,9.75,9.66,9.68,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
 NAN, NAN, NAN, NAN, NAN,NAN, NAN, NAN,9.59,9.65,9.64,9.61,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
 NAN, NAN, NAN, NAN, NAN,NAN, NAN, NAN,9.61,9.68,9.66,9.68,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
 NAN, NAN, NAN, NAN, NAN,NAN, NAN, NAN,9.67,9.69,9.65,9.65,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
 NAN, NAN, NAN, NAN, NAN,NAN, NAN, NAN,9.67,9.63,9.63,9.63,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
 NAN, NAN, NAN, NAN, NAN,NAN, NAN, NAN,9.57,9.69,9.69,9.64,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
 NAN, NAN, NAN, NAN, NAN,NAN, NAN, NAN,9.66,9.60,9.59,9.63,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
 NAN, NAN, NAN, NAN, NAN,NAN, NAN, NAN,9.65,9.65,9.65,9.61,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
 NAN, NAN, NAN, NAN, NAN,NAN, NAN, NAN,9.63,9.63,9.65,9.65,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
 NAN, NAN, NAN, NAN, NAN,NAN, NAN, NAN,9.65,9.65,9.61,9.69,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
