Timestamp,Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,Thermocouple_8,Analog_1,Analog_2,Analog_3,Analog_4,Analog_5,Analog_6,Analog_7,Analog_8,Digital_1,Digital_2,Digital_3,Digital_4,Digital_5,Digital_6,Digital_7,Digital_8
2020-02-28 12:58:17.999655,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.42,1.39,1.40,1.39,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:18.003730, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.36,1.36,1.36,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:18.794215, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.38,1.37,1.37,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:19.855126, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.37,1.36,1.39,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:20.920140, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.37,1.37,1.37,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:21.985019, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.37,1.37,1.39,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:23.045929, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.37,1.36,1.36,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:24.112177, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.35,1.37,1.36,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:25.171375, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.37,1.38,1.36,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:26.236261, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.36,1.38,1.35,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:27.297296, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.37,1.38,1.37,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:28.361944, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.38,1.37,1.35,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:29.426788, NAN, NAN, NAN, NAN, NAN, NAN, NAN,31.50,1.37,1.37,1.36,1.38,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:30.491661, NAN, NAN, NAN, NAN, NAN, NAN, NAN,31.50,1.38,1.36,1.37,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:31.552564, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.36,1.37,1.37,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:32.617442, NAN,31.00, NAN, NAN, NAN, NAN, NAN, NAN,1.37,1.36,1.38,1.38,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:33.678301, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.37,1.37,1.38,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:34.743155, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.38,1.36,1.37,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:35.808023, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.36,1.35,1.36,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:36.868979, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.35,1.37,1.36,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:37.933713, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.35,1.36,1.36,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:38.994587, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.37,1.36,1.37,1.38,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:40.059592, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.36,1.36,1.36,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:41.120379, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.37,1.36,1.36,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:42.189286, NAN, NAN,NAN, NAN, NAN, NAN, NAN, NAN,1.35,1.37,1.37,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:43.250084, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.34,1.37,1.36,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:44.314928, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.36,1.40,1.36,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:45.375834, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.37,1.36,1.37,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:46.440678, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.40,1.36,1.36,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:47.505504, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.36,1.36,1.35,1.35,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:48.566639, NAN, NAN, NAN,31.00, NAN, NAN, NAN, NAN,1.38,1.37,1.36,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:49.631325, NAN, NAN, NAN,30.75, NAN, NAN, NAN, NAN,1.37,1.37,1.36,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:50.696134, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.35,1.39,1.35,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:51.756966, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.36,1.36,1.36,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:52.821978, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.37,1.36,1.36,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:53.882762, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.36,1.37,1.36,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:54.947554, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.37,1.36,1.37,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:56.013069, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.36,1.36,1.35,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:57.073881, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.37,1.36,1.37,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:58.138369, NAN, NAN, NAN, NAN,30.00, NAN, NAN, NAN,1.37,1.38,1.37,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:58:59.203045, NAN, NAN, NAN, NAN,29.50, NAN, NAN, NAN,1.36,1.37,1.37,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:59:00.264103, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.36,1.38,1.35,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:59:01.329036, NAN, NAN, NAN, NAN, NAN,30.25, NAN, NAN,1.37,1.36,1.37,1.36,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:59:02.393643, NAN, NAN, NAN, NAN, NAN,30.25, NAN, NAN,1.37,1.35,1.37,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2020-02-28 12:59:03.458631, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,1.35,1.36,1.37,1.37,NAN,NAN,NAN,NAN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
